DHID,Drill_Type,x,y,z
DH_312,RC,510.149000000034,1098.319000000134,12.453000000000031
DH_313,RC,293.1110000000335,1049.472000000067,12.920000000000016
DH_314,RC,461.79100000002654,1098.0750000001863,14.222000000000037
DH_315,RC,277.00700000004144,946.9759999997914,12.996000000000038
DH_316,RC,571.5480000000098,953.1720000002533,11.158999999999992
DH_317,RC,473.27799999999115,899.9630000004545,11.266999999999996
DH_318,RC,671.0210000000079,950.0319999996573,11.256000000000029
DH_319,RC,527.6290000000154,799.964999999851,9.848000000000013
DH_320,RC,247.83900000003632,550.1380000002682,7.8629999999999995
DH_321,RC,198.03000000002794,497.01800000015646,6.239000000000033
DH_322,RC,298.44800000003306,496.8629999998957,7.173000000000002
DH_323,RC,253.75400000001537,399.61899999994785,5.862000000000023
