DHID,SampleID,X,Y,Z,True,Estimate
DDH-0026,344,782.05784,12340.488,1087.7299,0.60586,0.11907559
DDH-0026,345,782.03987,12343.706,1083.9031,0.38891,-0.54119603
DDH-0026,346,782.0219,12346.924,1080.0762,0.01679,-0.23164442
DDH-0026,347,782.00393,12350.142,1076.2494,0.10218,-0.36852248
DDH-0026,348,781.99368,12351.976,1074.0681,0.0818,-0.46064328
DDH-0027,349,702.96607,12237.546,1082.0005,4.284,3.347865
DDH-0027,350,703.00224,12240.159,1077.7377,2.02911,3.9724449
DDH-0027,351,703.25367,12253.298,1056.4707,1.92856,2.9293295
DDH-0027,352,703.31806,12255.941,1052.2267,1.285,3.1084832
DDH-0027,353,703.38716,12258.589,1047.9859,4.31337,2.8037233
DDH-0027,354,703.46097,12261.242,1043.7483,7.54965,2.2427082
DDH-0027,355,703.53948,12263.9,1039.5139,2.15123,1.7858577
DDH-0027,356,703.62269,12266.562,1035.2827,0.83768,1.6049065
DDH-0027,357,703.7106,12269.23,1031.0547,0.15494,1.4502537
DDH-0027,358,703.80322,12271.902,1026.83,0.0063,0.9823097
DDH-0027,359,703.90054,12274.58,1022.6084,0,0.53128577
DDH-0027,360,704.00257,12277.262,1018.3901,0.76657,0.17672919
DDH-0027,361,704.10929,12279.95,1014.1751,1.3995,0.21860493
DDH-0027,362,704.22013,12282.641,1009.9629,0.22536,-0.41798951
DDH-0027,363,704.33156,12285.334,1005.7511,0.13733,-0.26114082
DDH-0027,364,704.40131,12287.019,1003.1145,0.0157,-0.76787394
DDH-0028,365,621.76233,12251.602,1207.449,1.0149,3.8815473
DDH-0028,366,621.00445,12276.477,1209.825,5.8178,3.5132489
DDH-0028,367,620.84457,12281.458,1210.2344,6.2485,3.0075441
DDH-0028,368,620.68192,12286.44,1210.6218,9.09714,2.4761912
DDH-0028,369,620.51651,12291.424,1210.9873,1.19818,1.9794001
DDH-0028,370,620.34835,12296.409,1211.3308,0.83407,1.5652947
DDH-0028,371,620.17743,12301.396,1211.6523,1.7002,1.2550634
DDH-0028,372,620.00377,12306.384,1211.9518,0.0313,1.0457525
DDH-0028,373,619.82736,12311.373,1212.2294,0.16141,0.7254092
DDH-0028,374,619.6482,12316.363,1212.4849,0.04452,0.81925182
DDH-0028,375,619.46631,12321.355,1212.7185,0.33723,0.81840384
DDH-0028,376,619.28168,12326.347,1212.93,0.03419,0.77537273
DDH-0028,377,618.90498,12336.333,1213.2853,0.0549,0.70870252
DDH-0028,378,618.71812,12341.328,1213.4164,0.05478,0.63777838
DDH-0029,379,862.68593,12312.749,1170.5288,1.74197,1.9890294
DDH-0029,380,863.10709,12316.865,1167.7211,1.05963,1.8025419
DDH-0029,381,863.50978,12320.998,1164.9356,0.4935,1.7027438
DDH-0029,382,863.90148,12325.14,1162.1635,0.5537,1.8287937
DDH-0029,383,864.29309,12329.283,1159.3914,0.57058,1.6784948
DDH-0029,384,864.57309,12332.245,1157.4094,0.00145,1.3919754
DDH-0030,385,856.3682,12291.433,1150.4182,2.6448,2.7456259
